,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
688,IL,"Adams County, Illinois",4259,5174,45965.0,46776.0,23646.0,15859.0,49891.0,60764.0,741.0,68,50.8,48,60243,5548,65791
689,IL,"Alexander County, Illinois",1018,1406,27265.0,34142.0,17166.0,,58750.0,28333.0,935.0,11,66.0,7,5988,1136,7124
690,IL,"Bond County, Illinois",1121,1472,47946.0,48504.0,45000.0,,,,702.0,15,47.0,10,15362,867,16229
691,IL,"Boone County, Illinois",2237,3604,58248.0,57416.0,56845.0,103669.0,119256.0,52413.0,663.0,36,52.8,28,48286,5247,53533
692,IL,"Brown County, Illinois",305,260,50739.0,50493.0,,,,,814.0,6,46.6,3,4862,329,5191
693,IL,"Bureau County, Illinois",1800,2391,50423.0,50351.0,50709.0,,52431.0,42069.0,696.0,34,50.4,25,30712,3012,33724
694,IL,"Calhoun County, Illinois",294,312,53869.0,55147.0,,,,,814.0,6,47.8,4,4682,237,4919
695,IL,"Carroll County, Illinois",894,949,48631.0,48888.0,,,53750.0,48125.0,54.0,14,47.4,12,13374,1375,14749
696,IL,"Cass County, Illinois",775,913,47434.0,49527.0,35515.0,,,36659.0,897.0,15,72.4,12,11825,1269,13094
697,IL,"Champaign County, Illinois",21117,22167,46495.0,52629.0,25921.0,47560.0,24601.0,36684.0,624.0,107,42.4,73,187859,16013,203872
698,IL,"Christian County, Illinois",1953,2761,45334.0,45615.0,15536.0,,,65586.0,941.0,45,69.2,33,29857,2562,32419
699,IL,"Clark County, Illinois",995,1365,50517.0,50382.0,,,,2499.0,755.0,17,56.1,13,14491,1437,15928
700,IL,"Clay County, Illinois",719,1120,44209.0,44224.0,,37917.0,,56094.0,795.0,15,55.8,11,12121,1285,13406
701,IL,"Clinton County, Illinois",1251,1942,63236.0,64114.0,,9150.0,,75184.0,636.0,29,43.9,20,33922,2079,36001
702,IL,"Coles County, Illinois",4833,6118,39588.0,40775.0,15673.0,,,,804.0,48,56.1,34,47201,5148,52349
703,IL,"Cook County, Illinois",392713,486786,55251.0,65946.0,34289.0,42309.0,70485.0,45366.0,634.0,3359,44.7,2369,4451741,740856,5192597
704,IL,"Crawford County, Illinois",1127,1183,47468.0,47670.0,101346.0,2499.0,81181.0,14655.0,889.0,24,55.5,15,16422,1739,18161
705,IL,"Cumberland County, Illinois",755,945,46061.0,46414.0,,,2499.0,26250.0,891.0,13,62.6,9,10063,754,10817
706,IL,"DeKalb County, Illinois",7881,10455,54101.0,57900.0,21072.0,,38824.0,41786.0,728.0,63,46.2,40,93890,9630,103520
707,IL,"De Witt County, Illinois",936,1137,53959.0,54467.0,,107917.0,,31466.0,943.0,21,78.1,17,14856,1293,16149
708,IL,"Douglas County, Illinois",829,1190,51810.0,51974.0,,49000.0,,41985.0,663.0,17,46.2,12,16093,3577,19670
709,IL,"DuPage County, Illinois",30099,37842,79658.0,81187.0,51329.0,55500.0,95020.0,58347.0,561.0,529,38.7,362,847386,77195,924581
710,IL,"Edgar County, Illinois",1370,1629,45691.0,45755.0,,,60625.0,,766.0,20,59.7,16,16262,1460,17722
711,IL,"Edwards County, Illinois",364,487,44497.0,44549.0,,,,2499.0,887.0,9,60.7,6,6070,545,6615
712,IL,"Effingham County, Illinois",1758,1799,52224.0,52243.0,,,65435.0,48125.0,675.0,29,45.2,19,31555,2372,33927
713,IL,"Fayette County, Illinois",1651,1993,43944.0,44007.0,,,,,58.0,16,43.7,13,17854,2643,20497
714,IL,"Ford County, Illinois",792,998,49947.0,49681.0,88077.0,55089.0,,43452.0,668.0,14,48.3,11,12221,1203,13424
715,IL,"Franklin County, Illinois",3279,3912,39512.0,39761.0,41042.0,19191.0,31875.0,33125.0,1034.0,59,73.7,42,34992,4224,39216
716,IL,"Fulton County, Illinois",2193,2645,46083.0,45967.0,,,21250.0,,749.0,38,54.2,28,31295,2794,34089
717,IL,"Gallatin County, Illinois",375,462,39636.0,40133.0,,,,,879.0,8,74.1,7,4877,508,5385
718,IL,"Greene County, Illinois",994,1237,42565.0,42773.0,,,,,727.0,14,55.7,11,12013,1231,13244
719,IL,"Grundy County, Illinois",1897,2634,65887.0,67212.0,30743.0,,,56676.0,90.0,45,55.3,28,46433,3620,50053
720,IL,"Hamilton County, Illinois",565,646,44159.0,44159.0,,,,,852.0,11,80.2,10,7412,829,8241
721,IL,"Hancock County, Illinois",950,1209,47699.0,48171.0,,26250.0,40250.0,,744.0,21,54.9,16,17193,1379,18572
722,IL,"Hardin County, Illinois",355,509,38838.0,38596.0,,,91250.0,,903.0,6,57.4,4,3726,467,4193
723,IL,"Henderson County, Illinois",230,462,47672.0,47672.0,,,,,782.0,9,62.3,7,6462,515,6977
724,IL,"Henry County, Illinois",2166,3090,53480.0,54257.0,17679.0,,56544.0,38589.0,749.0,52,57.1,40,45802,3315,49117
725,IL,"Iroquois County, Illinois",2010,2725,47834.0,48692.0,21378.0,,48125.0,37167.0,72.0,31,52.0,23,26184,2412,28596
726,IL,"Jackson County, Illinois",8533,8320,33871.0,38689.0,15280.0,22578.0,32132.0,20517.0,69.0,41,47.2,28,53394,5438,58832
727,IL,"Jasper County, Illinois",319,562,54209.0,54238.0,,,,,673.0,9,64.3,8,8809,763,9572
728,IL,"Jefferson County, Illinois",2740,3439,43247.0,44648.0,31696.0,,72798.0,36042.0,927.0,46,68.7,34,33063,3473,36536
729,IL,"Jersey County, Illinois",559,1031,53271.0,53261.0,,,,61314.0,787.0,23,62.3,19,20270,2011,22281
730,IL,"Jo Daviess County, Illinois",849,1183,53221.0,53160.0,,,120000.0,36224.0,559.0,22,44.8,17,20715,1530,22245
731,IL,"Johnson County, Illinois",761,828,42287.0,42559.0,,,,42500.0,836.0,15,60.5,10,9929,1010,10939
732,IL,"Kane County, Illinois",26663,32370,70696.0,77290.0,39620.0,36705.0,92529.0,49138.0,589.0,266,43.7,193,459275,62410,521685
733,IL,"Kankakee County, Illinois",7945,9420,52110.0,56820.0,28198.0,40823.0,71389.0,42650.0,736.0,94,55.1,70,99346,10548,109894
734,IL,"Kendall County, Illinois",2622,3994,84385.0,86339.0,83685.0,,90037.0,62889.0,546.0,45,39.3,32,113624,6162,119786
735,IL,"Knox County, Illinois",4050,4963,39976.0,41632.0,18852.0,,,31809.0,691.0,53,52.5,40,44808,4566,49374
736,IL,"Lake County, Illinois",30540,35188,78026.0,80823.0,39812.0,54583.0,102820.0,49365.0,582.0,379,40.1,257,618737,68927,687664
737,IL,"LaSalle County, Illinois",6252,8134,50633.0,51022.0,31082.0,,65625.0,46320.0,764.0,113,56.5,84,99411,10337,109748
738,IL,"Lawrence County, Illinois",549,960,40841.0,41069.0,60500.0,,,53150.0,882.0,19,66.4,14,10126,1035,11161
739,IL,"Lee County, Illinois",1680,1875,52379.0,52653.0,61250.0,23512.0,,40625.0,669.0,31,53.2,25,29497,2765,32262
740,IL,"Livingston County, Illinois",1699,2198,54254.0,54268.0,,,,35000.0,816.0,40,49.7,25,31422,2271,33693
741,IL,"Logan County, Illinois",1336,1967,50539.0,53480.0,16318.0,66094.0,49565.0,56908.0,907.0,34,52.9,20,22314,1683,23997
742,IL,"McDonough County, Illinois",2743,3651,40314.0,40744.0,,31071.0,46544.0,,631.0,23,50.1,18,29253,2383,31636
743,IL,"McHenry County, Illinois",11663,12374,77222.0,77649.0,68333.0,55750.0,95059.0,57853.0,653.0,185,51.9,143,282293,23801,306094
744,IL,"McLean County, Illinois",10918,12877,62211.0,64586.0,27227.0,42321.0,82436.0,39873.0,641.0,97,44.7,68,161651,10309,171960
745,IL,"Macon County, Illinois",8246,11165,47176.0,51454.0,21997.0,,73750.0,47067.0,966.0,140,62.8,92,97426,9347,106773
746,IL,"Macoupin County, Illinois",2375,3354,51206.0,51102.0,105039.0,,58490.0,78409.0,795.0,52,59.9,39,42434,3850,46284
747,IL,"Madison County, Illinois",15421,19397,53431.0,55845.0,30120.0,,47652.0,44482.0,835.0,265,58.5,186,243710,21227,264937
748,IL,"Marion County, Illinois",3100,3865,42238.0,43310.0,30912.0,13810.0,62632.0,23571.0,915.0,49,67.6,36,33975,3979,37954
749,IL,"Marshall County, Illinois",439,762,53423.0,53658.0,,,,53802.0,585.0,12,44.0,9,11143,765,11908
750,IL,"Mason County, Illinois",919,1176,41567.0,41624.0,,,,,923.0,20,63.9,14,12765,1168,13933
751,IL,"Massac County, Illinois",1251,1454,40977.0,42512.0,23194.0,,35938.0,83452.0,1009.0,22,67.9,15,13160,1634,14794
752,IL,"Menard County, Illinois",603,801,60486.0,60425.0,,,,,759.0,13,62.1,10,11756,694,12450
753,IL,"Mercer County, Illinois",616,882,54757.0,54468.0,,,66500.0,45625.0,767.0,19,48.2,12,15023,828,15851
754,IL,"Monroe County, Illinois",529,1138,70859.0,71255.0,,,,64417.0,609.0,24,43.6,17,31731,1518,33249
755,IL,"Montgomery County, Illinois",1170,2333,46966.0,46862.0,,,,66500.0,865.0,34,68.5,28,22479,1403,23882
756,IL,"Morgan County, Illinois",2222,2358,45978.0,47783.0,30265.0,,,35714.0,776.0,36,50.2,23,30681,2682,33363
757,IL,"Moultrie County, Illinois",1000,929,49681.0,49910.0,,,,35357.0,569.0,11,46.1,9,12793,1812,14605
758,IL,"Ogle County, Illinois",2460,3017,54849.0,55420.0,42070.0,66000.0,,38979.0,667.0,45,45.8,31,47655,4241,51896
759,IL,"Peoria County, Illinois",13602,17592,51147.0,56363.0,25998.0,51250.0,83385.0,43125.0,84.0,180,60.1,129,169136,15706,184842
760,IL,"Perry County, Illinois",1383,1997,42478.0,43366.0,19917.0,,,,744.0,21,52.8,15,17882,1831,19713
761,IL,"Piatt County, Illinois",398,621,66261.0,66763.0,,,,42292.0,798.0,18,53.1,12,15571,874,16445
762,IL,"Pike County, Illinois",1011,1122,40588.0,40865.0,,8750.0,250001.0,39844.0,684.0,17,46.0,11,14004,1607,15611
763,IL,"Pope County, Illinois",247,368,39223.0,38851.0,,,,,1055.0,7,69.4,4,3845,281,4126
764,IL,"Pulaski County, Illinois",529,649,31980.0,35236.0,25106.0,,,23500.0,1131.0,10,74.3,7,5279,584,5863
765,IL,"Putnam County, Illinois",304,387,56358.0,55776.0,,,,63125.0,735.0,7,55.0,5,5323,493,5816
766,IL,"Randolph County, Illinois",1716,2100,48158.0,50465.0,26875.0,,,68500.0,786.0,33,52.6,22,27550,2391,29941
767,IL,"Richland County, Illinois",1001,1381,44127.0,44340.0,,,,31250.0,816.0,19,56.7,13,14516,1401,15917
768,IL,"Rock Island County, Illinois",9137,12086,48817.0,50760.0,31869.0,18906.0,63359.0,40236.0,668.0,127,52.4,101,131902,12873,144775
769,IL,"St. Clair County, Illinois",20261,27685,49895.0,61682.0,27289.0,,72440.0,41273.0,758.0,219,56.8,165,235092,26136,261228
770,IL,"Saline County, Illinois",2362,3172,38258.0,39217.0,,,48182.0,24375.0,918.0,33,69.5,25,21694,2541,24235
771,IL,"Sangamon County, Illinois",13769,16528,56167.0,61044.0,26468.0,53281.0,67159.0,41054.0,776.0,183,54.1,126,182529,14316,196845
772,IL,"Schuyler County, Illinois",885,497,47723.0,47482.0,,,,24375.0,829.0,9,61.5,7,5985,1247,7232
773,IL,"Scott County, Illinois",332,380,47222.0,47118.0,,,,,832.0,6,52.1,4,4717,433,5150
774,IL,"Shelby County, Illinois",1159,1290,47850.0,48071.0,,,39750.0,,771.0,25,46.9,16,20044,1879,21923
775,IL,"Stark County, Illinois",271,413,50085.0,50321.0,,,,60625.0,773.0,7,46.5,4,5273,485,5758
776,IL,"Stephenson County, Illinois",2985,3864,45331.0,47191.0,24795.0,,,41667.0,638.0,43,52.6,36,42123,3755,45878
777,IL,"Tazewell County, Illinois",4787,6772,58194.0,58688.0,,,98304.0,62118.0,872.0,151,60.1,104,124087,9275,133362
778,IL,"Union County, Illinois",1495,1476,42606.0,44158.0,,,,23500.0,1027.0,26,74.4,18,15663,1735,17398
779,IL,"Vermilion County, Illinois",6430,8141,42977.0,46159.0,23053.0,21648.0,51472.0,35583.0,864.0,92,64.8,70,70535,7553,78088
780,IL,"Wabash County, Illinois",617,830,47491.0,46933.0,,,75500.0,2499.0,916.0,15,59.7,10,10686,883,11569
781,IL,"Warren County, Illinois",992,1472,43699.0,44519.0,39821.0,,36875.0,35781.0,74.0,17,57.1,13,16091,1417,17508
782,IL,"Washington County, Illinois",861,973,53202.0,53370.0,2499.0,,87813.0,35500.0,741.0,15,43.4,9,13239,1009,14248
783,IL,"Wayne County, Illinois",1052,1333,44993.0,45230.0,2499.0,,,,892.0,22,66.4,17,15108,1398,16506
784,IL,"White County, Illinois",825,1091,44648.0,44295.0,,,,35603.0,812.0,18,69.5,16,12898,1232,14130
785,IL,"Whiteside County, Illinois",2999,3741,47401.0,47739.0,34554.0,,123375.0,43133.0,718.0,57,56.7,45,51771,4880,56651
786,IL,"Will County, Illinois",22781,30701,76101.0,79701.0,55017.0,41618.0,107870.0,59611.0,72.0,414,50.3,281,623387,54042,677429
787,IL,"Williamson County, Illinois",4284,5499,44453.0,44983.0,31181.0,,72232.0,48021.0,975.0,85,69.5,60,59419,5864,65283
788,IL,"Winnebago County, Illinois",21483,26368,48225.0,51923.0,25371.0,34617.0,63722.0,37495.0,74.0,252,57.7,198,257664,29612,287276
789,IL,"Woodford County, Illinois",1461,1644,65852.0,65909.0,,,,65179.0,61.0,29,45.8,22,36321,2227,38548
882,KS,"Allen County, Kansas",957,1300,38698.0,39505.0,38482.0,20833.0,,39500.0,,_,52.2,10,11356,1520,12876
883,KS,"Anderson County, Kansas",668,694,40696.0,40370.0,,81200.0,,,,_,50.6,6,6798,996,7794
884,KS,"Atchison County, Kansas",1310,1660,43581.0,44353.0,22375.0,,,,,_,51.1,10,14349,2108,16457
885,KS,"Barber County, Kansas",245,266,51811.0,51658.0,,,,65938.0,,_,56.0,4,4248,481,4729
886,KS,"Barton County, Kansas",1840,2421,44013.0,45325.0,22326.0,18958.0,,22247.0,,_,45.5,17,23210,3778,26988
887,KS,"Bourbon County, Kansas",1175,1582,38280.0,39231.0,,,62344.0,40250.0,,_,47.5,10,13089,1450,14539
888,KS,"Brown County, Kansas",669,929,43724.0,45619.0,32366.0,30268.0,48125.0,30119.0,,_,53.6,8,8713,1096,9809
889,KS,"Butler County, Kansas",2830,3790,58897.0,58928.0,,19487.0,77460.0,58136.0,,_,53.0,38,58196,5895,64091
890,KS,"Chase County, Kansas",164,196,38707.0,39655.0,,,,58333.0,,_,,*,2353,249,2602
891,KS,"Chautauqua County, Kansas",261,318,37993.0,39079.0,,,,73125.0,,_,80.1,5,2950,493,3443
892,KS,"Cherokee County, Kansas",1673,1838,41388.0,41126.0,,51393.0,,71528.0,,_,63.2,17,17869,2862,20731
893,KS,"Cheyenne County, Kansas",93,121,44500.0,43875.0,,,,25893.0,,_,,*,2394,247,2641
894,KS,"Clark County, Kansas",128,183,42589.0,42589.0,,,,38393.0,,_,,*,1870,215,2085
895,KS,"Clay County, Kansas",368,574,52066.0,52293.0,,75278.0,,,,_,52.9,7,7650,472,8122
896,KS,"Cloud County, Kansas",623,579,39282.0,39421.0,,,,,,_,48.4,7,8056,1058,9114
897,KS,"Coffey County, Kansas",425,408,57433.0,56964.0,,70682.0,,,,_,54.4,7,7518,828,8346
898,KS,"Comanche County, Kansas",40,100,45288.0,46010.0,,,,,,_,,*,1672,264,1936
899,KS,"Cowley County, Kansas",2742,3229,43860.0,43915.0,45347.0,41875.0,61200.0,38750.0,,_,43.1,20,30895,3974,34869
900,KS,"Crawford County, Kansas",4161,4058,36534.0,37157.0,31500.0,,2499.0,29961.0,,_,59.0,26,33511,5165,38676
901,KS,"Decatur County, Kansas",108,208,40657.0,40833.0,,,,,,_,,*,2467,352,2819
902,KS,"Dickinson County, Kansas",735,1270,49096.0,49245.0,,110543.0,,45903.0,,_,54.8,15,17408,1624,19032
903,KS,"Doniphan County, Kansas",444,448,47209.0,49209.0,18182.0,36083.0,,33750.0,,_,58.1,6,6714,1032,7746
904,KS,"Douglas County, Kansas",10447,9690,50939.0,52173.0,38934.0,60144.0,29554.0,39315.0,,_,41.2,36,102290,11967,114257
905,KS,"Edwards County, Kansas",161,174,47303.0,48139.0,,,,36154.0,,_,,*,2496,400,2896
906,KS,"Elk County, Kansas",241,242,36458.0,36111.0,,,,63611.0,,_,56.1,3,2361,274,2635
907,KS,"Ellis County, Kansas",2259,2094,45579.0,47280.0,,,2499.0,25263.0,,_,37.7,12,26130,2587,28717
908,KS,"Ellsworth County, Kansas",171,313,47736.0,48615.0,,,,50208.0,,_,42.8,4,5034,365,5399
909,KS,"Finney County, Kansas",2572,3650,49227.0,52302.0,29522.0,26458.0,48732.0,44520.0,,_,40.2,11,31374,5515,36889
910,KS,"Ford County, Kansas",3303,2880,50777.0,51687.0,21447.0,55682.0,27895.0,44796.0,,_,41.2,12,27637,6607,34244
911,KS,"Franklin County, Kansas",1515,1749,51081.0,52234.0,,,,30302.0,,_,53.0,16,23340,2251,25591
912,KS,"Geary County, Kansas",1978,2485,43992.0,43804.0,46568.0,44583.0,41641.0,32679.0,,_,71.4,16,28389,3257,31646
913,KS,"Gove County, Kansas",119,100,46364.0,46288.0,,,,,,_,,*,2376,305,2681
914,KS,"Graham County, Kansas",85,202,43826.0,46964.0,31250.0,,,46250.0,,_,,*,2372,193,2565
915,KS,"Grant County, Kansas",368,427,55432.0,57924.0,,,,53988.0,,_,,*,6281,1456,7737
916,KS,"Gray County, Kansas",252,345,61000.0,60318.0,,,,42656.0,,_,,*,5306,673,5979
917,KS,"Greeley County, Kansas",38,59,47750.0,46776.0,,,,35000.0,,_,,*,1118,78,1196
918,KS,"Greenwood County, Kansas",408,537,38838.0,38914.0,,,,,,_,52.3,6,5530,773,6303
919,KS,"Hamilton County, Kansas",137,234,45114.0,48344.0,,,,32208.0,,_,,*,2022,564,2586
920,KS,"Harper County, Kansas",443,490,43973.0,43438.0,,60417.0,,,,_,53.0,5,5004,699,5703
921,KS,"Harvey County, Kansas",1785,2630,51327.0,51911.0,,,,39245.0,,_,41.4,20,31182,3019,34201
922,KS,"Haskell County, Kansas",269,293,56484.0,60306.0,,46250.0,,37067.0,,_,,*,3350,727,4077
923,KS,"Hodgeman County, Kansas",44,44,54856.0,54471.0,,,,54167.0,,_,,*,1724,180,1904
924,KS,"Jackson County, Kansas",414,783,54077.0,56259.0,37188.0,27750.0,51339.0,41250.0,,_,56.1,10,12309,963,13272
925,KS,"Jefferson County, Kansas",592,802,57236.0,57274.0,,70192.0,,38750.0,,_,47.7,12,16981,1660,18641
926,KS,"Jewell County, Kansas",200,266,40553.0,40865.0,,42500.0,,29250.0,,_,55.2,3,2820,191,3011
927,KS,"Johnson County, Kansas",14939,19617,76113.0,77708.0,48930.0,72500.0,90328.0,46167.0,,_,39.6,210,521845,40693,562538
928,KS,"Kearny County, Kansas",196,216,50506.0,59479.0,,,,46429.0,,_,71.7,3,3497,379,3876
929,KS,"Kingman County, Kansas",289,522,50844.0,50812.0,,41071.0,,29135.0,,_,26.5,3,6728,911,7639
930,KS,"Kiowa County, Kansas",177,187,43963.0,43628.0,,48750.0,,43889.0,,_,,*,2230,237,2467
931,KS,"Labette County, Kansas",1642,2009,41439.0,42522.0,17328.0,36964.0,,25500.0,,_,56.1,16,18019,2722,20741
932,KS,"Lane County, Kansas",45,104,56507.0,56728.0,,,,,,_,,*,1546,119,1665
933,KS,"Leavenworth County, Kansas",3686,4537,63726.0,65978.0,49443.0,62292.0,92727.0,62431.0,,_,48.3,37,65615,5514,71129
934,KS,"Lincoln County, Kansas",139,194,44276.0,43684.0,,,,18438.0,,_,,*,2694,394,3088
935,KS,"Linn County, Kansas",607,639,46964.0,46867.0,56316.0,75441.0,,24282.0,,_,65.1,10,8563,895,9458
936,KS,"Logan County, Kansas",98,134,46875.0,49091.0,,,,76250.0,,_,,*,2514,239,2753
937,KS,"Lyon County, Kansas",3172,3747,40021.0,41085.0,,31442.0,24750.0,38903.0,,_,53.3,19,28389,4660,33049
938,KS,"McPherson County, Kansas",704,1289,56128.0,56393.0,,52039.0,41228.0,57692.0,,_,34.4,15,26722,1895,28617
939,KS,"Marion County, Kansas",620,686,45927.0,46554.0,45714.0,29559.0,,,,_,26.8,5,11007,941,11948
940,KS,"Marshall County, Kansas",407,680,45374.0,45465.0,,,,43542.0,,_,37.5,6,9015,803,9818
941,KS,"Meade County, Kansas",174,307,52250.0,53025.0,,,,39792.0,,_,,*,3779,477,4256
942,KS,"Miami County, Kansas",1213,1736,60966.0,61602.0,43971.0,,2499.0,55885.0,,_,41.0,15,29750,2346,32096
943,KS,"Mitchell County, Kansas",227,399,48217.0,48975.0,,,,14000.0,,_,45.4,5,5676,467,6143
944,KS,"Montgomery County, Kansas",2948,3355,41083.0,42705.0,15932.0,37470.0,,34886.0,,_,64.4,30,29027,4616,33643
945,KS,"Morris County, Kansas",229,276,47089.0,47743.0,,,,46250.0,,_,51.3,5,5128,541,5669
946,KS,"Morton County, Kansas",151,174,46028.0,47306.0,,,,42097.0,,_,,*,2693,321,3014
