,State,AreaName,M_Poverty,F_Poverty,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,Incidence_Rate,Avg_Ann_Incidence,Mortality_Rate,Avg_Ann_Deaths,All_With,All_Without,Population
381,GA,"Appling County, Georgia",1485,2260,37135.0,39981.0,26130.0,,,30907.0,744.0,15,56.3,12,14236,3717,17953
382,GA,"Atkinson County, Georgia",1068,1302,30933.0,34130.0,24598.0,,,24009.0,594.0,5,75.8,6,5771,2497,8268
383,GA,"Bacon County, Georgia",850,1069,37162.0,42561.0,20302.0,,34706.0,42802.0,875.0,11,66.5,8,8681,2020,10701
384,GA,"Baker County, Georgia",287,465,44297.0,51538.0,26806.0,,,,729.0,3,,*,2602,690,3292
385,GA,"Baldwin County, Georgia",5601,7600,32460.0,39592.0,22906.0,,39524.0,,735.0,36,47.3,23,37782,5744,43526
386,GA,"Banks County, Georgia",1497,1529,41472.0,41609.0,34342.0,,36146.0,29375.0,652.0,13,33.8,7,15147,3172,18319
387,GA,"Barrow County, Georgia",5099,5803,52012.0,53176.0,38643.0,,69886.0,41034.0,896.0,55,63.4,37,59296,12502,71798
388,GA,"Bartow County, Georgia",6659,9160,48893.0,51065.0,37979.0,56190.0,56094.0,33259.0,913.0,91,63.2,61,82993,17494,100487
389,GA,"Ben Hill County, Georgia",2511,3513,29994.0,38830.0,18397.0,,,26005.0,84.0,18,65.1,13,13671,3486,17157
390,GA,"Berrien County, Georgia",2088,2835,31835.0,34538.0,26063.0,,,29643.0,782.0,18,54.4,12,13914,4797,18711
391,GA,"Bibb County, Georgia",16798,23813,36519.0,52978.0,25620.0,,62300.0,27026.0,794.0,134,59.1,99,125722,25439,151161
392,GA,"Bleckley County, Georgia",1270,1346,38991.0,46932.0,17738.0,,,,723.0,11,60.1,9,10891,1490,12381
393,GA,"Brantley County, Georgia",1561,2251,37206.0,37212.0,29861.0,,,,878.0,18,74.1,15,13558,4835,18393
394,GA,"Brooks County, Georgia",1864,2401,32663.0,41641.0,19521.0,,,16801.0,769.0,16,51.1,11,12273,3325,15598
395,GA,"Bryan County, Georgia",1939,2548,63327.0,64884.0,54306.0,,37857.0,60219.0,843.0,22,68.1,17,27911,4287,32198
396,GA,"Bulloch County, Georgia",10148,11646,36032.0,41190.0,25995.0,,48967.0,28125.0,786.0,44,56.8,32,59840,11701,71541
397,GA,"Burke County, Georgia",3099,4032,33641.0,49398.0,19626.0,,48438.0,31736.0,859.0,21,51.6,13,18777,3985,22762
398,GA,"Butts County, Georgia",2023,2306,41667.0,50384.0,30746.0,,,124485.0,957.0,25,81.3,20,17440,3559,20999
399,GA,"Calhoun County, Georgia",891,1033,25513.0,40486.0,21366.0,,,,634.0,4,50.2,4,3635,1038,4673
400,GA,"Camden County, Georgia",2795,3570,52473.0,58940.0,38130.0,40250.0,87538.0,63529.0,674.0,29,49.3,21,41559,6243,47802
401,GA,"Candler County, Georgia",1480,1918,30185.0,34518.0,22307.0,,,,829.0,11,62.1,8,7924,2820,10744
402,GA,"Carroll County, Georgia",9360,13081,43586.0,46792.0,32268.0,,30882.0,27139.0,839.0,88,59.0,62,92105,19327,111432
403,GA,"Catoosa County, Georgia",3588,4473,50876.0,50819.0,49981.0,,55652.0,46985.0,656.0,50,49.1,37,55676,9179,64855
404,GA,"Charlton County, Georgia",1140,870,42778.0,41929.0,46875.0,,,46316.0,60.0,9,49.4,7,9274,2507,11781
405,GA,"Chatham County, Georgia",21510,29470,47218.0,55466.0,34807.0,,51606.0,41630.0,652.0,183,44.4,126,223280,48039,271319
406,GA,"Chattahoochee County, Georgia",569,391,43378.0,44877.0,36895.0,,,39677.0,843.0,3,,*,6453,776,7229
407,GA,"Chattooga County, Georgia",2243,3245,32913.0,33927.0,22219.0,,,38750.0,1015.0,31,74.5,23,19081,4288,23369
408,GA,"Cherokee County, Georgia",11323,12950,68926.0,70839.0,67347.0,,61196.0,41363.0,732.0,135,46.7,84,193125,31916,225041
409,GA,"Clarke County, Georgia",18801,21758,32162.0,37856.0,24395.0,,33598.0,27375.0,618.0,52,41.6,36,100169,19749,119918
410,GA,"Clay County, Georgia",579,706,20438.0,41359.0,14797.0,,,,641.0,3,,*,2280,766,3046
411,GA,"Clayton County, Georgia",29093,36694,40938.0,38499.0,41967.0,25700.0,41626.0,34582.0,651.0,115,45.5,79,198052,65944,263996
